key,tokenizer,technique,mcc,m_f1,w_f1,acc
80,TweetTokenizer,BNB,0.0,0.2619047619047619,0.1858678955453149,0.3548387096774194
314,TreebankWordTokenizer,LSTM,0.0,0.3906633906633907,0.5009312831893478,0.6411290322580645
89,SyllableTokenizer,SGDC,-0.0008058017727639,0.4838709677419355,0.4838709677419355,0.4838709677419355
509,SyllableTokenizer,SGDC,-0.018159748309708,0.4047835802366962,0.3824281248248005,0.4153225806451613
472,SyllableTokenizer,LR,-0.0768581355211053,0.41912372554422705,0.5051822682868292,0.5887096774193549
316,MWETokenizer,CNN,0.0,0.38,0.4658064516129032,0.6129032258064516
307,TreebankWordTokenizer,KNN,0.0530218472695811,0.49140625,0.4877016129032258,0.4919354838709677
509,TreebankWordTokenizer,BNB,0.0,0.2811594202898551,0.2199392239364188,0.3911290322580645
266,MWETokenizer,LSTM,0.0,0.3921568627450979,0.5060088551549652,0.6451612903225806
10,TweetTokenizer,CNN,0.0683942450021815,0.4972863401556267,0.5688059896684757,0.625
318,TreebankWordTokenizer,LSTM,0.0,0.4052757793764988,0.552351667053454,0.6814516129032258
192,TweetTokenizer,LSTM,0.0,0.3815461346633416,0.4707786984152521,0.6169354838709677
62,TreebankWordTokenizer,CNN,0.0,0.3965936739659367,0.5213287811003846,0.657258064516129
438,MWETokenizer,BiLSTM,0.0,0.3876543209876543,0.4908203902827559,0.6330645161290323
200,NLTKWordTokenizer,KNN,-0.1110105169151763,0.4432526814666999,0.4599992758229468,0.4556451612903225
46,SyllableTokenizer,BNB,0.0,0.2684365781710914,0.1969978113997526,0.3669354838709677
330,TreebankWordTokenizer,BNB,0.0,0.2484848484848484,0.1643206256109481,0.3306451612903225
454,TreebankWordTokenizer,LR,0.1476401084153298,0.5444182760244936,0.6405064348988802,0.6854838709677419
33,ToktokTokenizer,BNB,0.0,0.2619047619047619,0.1858678955453149,0.3548387096774194
